Unnamed: 0,datetime,open,high,low,close,volume,vol,roc,trade_type,signals
179,2020-03-05,8755.98,9172.3,8755.98,9062.81,161840.623,161840.623,-6.21073274724594,HOLD,0
180,2020-03-06,9062.62,9179.75,8994.14,9139.48,115011.583,115011.583,-2.0000000000000018,HOLD,0
181,2020-03-07,9139.77,9204.0,8850.0,8897.18,125804.999,125804.999,1.1937826851466493,HOLD,0
182,2020-03-08,8895.62,8897.71,7997.7,8038.46,237407.028,237407.028,-8.943588581785233,HOLD,0
183,2020-03-09,8038.99,8182.31,7635.21,7932.15,334399.107,334399.107,-8.821355538262232,HOLD,0
184,2020-03-10,7932.45,8156.31,7733.0,7897.66,257068.702,257068.702,-7.434616583723819,CLOSE,-1
185,2020-03-11,7898.21,7988.0,7593.29,7938.39,220537.381,220537.381,-7.021096670820725,HOLD,0
186,2020-03-12,7938.39,7969.0,4347.0,4764.65,784747.02,784747.02,-46.58284471450834,HOLD,0
187,2020-03-13,4762.28,5971.0,3621.81,5570.26,935489.242,935489.242,-36.44883057615515,HOLD,0
188,2020-03-14,5569.84,5638.42,5040.0,5167.01,316242.586,316242.586,-40.99518895320621,HOLD,0
189,2020-03-15,5167.21,5954.47,5089.12,5357.32,356311.765,356311.765,-40.88676690783542,HOLD,0
190,2020-03-16,5354.81,5361.26,4413.62,5026.26,621555.792,621555.792,-45.004967459855486,HOLD,0
191,2020-03-17,5027.11,5529.98,4913.49,5307.38,429908.098,429908.098,-40.34761576139856,HOLD,0
192,2020-03-18,5306.42,5435.0,4982.75,5389.64,402005.703,402005.703,-32.95183405776728,HOLD,0
193,2020-03-19,5389.94,6400.0,5246.5,6159.6,499391.19,499391.19,-22.346400408464284,HOLD,0
194,2020-03-20,6159.41,6911.0,5650.0,6203.77,571898.016,571898.016,-21.447998521080926,HOLD,0
195,2020-03-21,6204.47,6457.17,5854.01,6183.69,387679.649,387679.649,-22.103978262594815,HOLD,0
196,2020-03-22,6183.84,6408.91,5730.35,5810.17,391002.795,391002.795,21.943269705015076,BUY,1
197,2020-03-23,5810.3,6619.9,5670.0,6463.84,489746.087,489746.087,16.041980087105443,HOLD,0
198,2020-03-24,6463.21,6840.0,6369.0,6741.33,437968.553,437968.553,30.46868498415911,HOLD,0
199,2020-03-25,6740.86,6960.71,6436.26,6673.41,400684.542,400684.542,24.566201010953236,HOLD,0
200,2020-03-26,6673.57,6777.5,6500.0,6733.76,281245.628,281245.628,33.97158125524744,HOLD,0
201,2020-03-27,6733.76,6840.0,6230.0,6353.64,258213.519,258213.519,19.71330486982279,HOLD,0
202,2020-03-28,6353.64,6354.74,6004.0,6230.95,341944.185,341944.185,15.609762433112406,HOLD,0
203,2020-03-29,6231.81,6260.0,5857.6,5876.27,251335.919,251335.919,-4.599811676082865,HOLD,0
204,2020-03-30,5876.27,6606.15,5850.0,6391.08,387321.998,387321.998,3.0192931072557494,HOLD,0
205,2020-03-31,6389.52,6516.63,6320.0,6407.1,262522.644,262522.644,3.612891331874679,HOLD,0
206,2020-04-01,6407.1,6693.0,6140.0,6641.51,390529.602,390529.602,14.308359307903217,HOLD,0
207,2020-04-02,6641.22,7290.0,6542.73,6791.63,531321.428,531321.428,5.071134186489767,HOLD,0
208,2020-04-03,6791.65,7049.11,6600.0,6729.8,411944.927,411944.927,-0.17103449912702073,HOLD,0
209,2020-04-04,6729.8,7020.0,6629.99,6851.1,319849.757,319849.757,2.6626567227249653,HOLD,0
210,2020-04-05,6851.4,6893.44,6668.02,6768.9,239224.508,239224.508,0.5218481205151226,HOLD,0
211,2020-04-06,6768.9,7370.0,6760.0,7325.73,461331.013,461331.013,15.299733695960093,HOLD,0
212,2020-04-07,7325.73,7457.0,7070.43,7192.9,419572.04,419572.04,15.43825580368965,HOLD,0
213,2020-04-08,7192.9,7417.83,7145.14,7357.66,332599.575,332599.575,25.209699350097914,HOLD,0
214,2020-04-09,7357.15,7365.69,7105.98,7278.65,293638.581,293638.581,13.887637144269815,HOLD,0
215,2020-04-10,7278.83,7290.0,6741.0,6857.82,440148.453,440148.453,7.034695884253406,HOLD,0
216,2020-04-11,6858.0,6944.28,6757.29,6874.18,224157.844,224157.844,3.503269587789526,HOLD,0
217,2020-04-12,6874.17,7173.98,6775.66,6900.52,321594.822,321594.822,1.6032969993948543,HOLD,0
218,2020-04-13,6900.19,6900.99,6558.0,6834.0,421954.773,421954.773,1.5483372462777423,HOLD,0
219,2020-04-14,6834.01,6975.6,6751.0,6864.11,280445.427,280445.427,0.18989651296870136,HOLD,0
220,2020-04-15,6864.11,6929.0,6602.59,6616.89,281136.689,281136.689,-2.2457120063821168,HOLD,0
221,2020-04-16,6616.88,7190.92,6465.33,7098.15,559868.603,559868.603,-3.1065845997600205,HOLD,0
222,2020-04-17,7098.15,7140.0,6981.0,7022.44,277339.601,277339.601,-2.3698369225208182,HOLD,0
223,2020-04-18,7022.0,7290.0,7008.11,7242.42,225807.171,225807.171,-1.566258837728296,HOLD,0
224,2020-04-19,7242.49,7258.42,7055.0,7118.03,216975.114,216975.114,-2.206727895969718,HOLD,0
225,2020-04-20,7118.04,7208.55,6735.95,6825.29,445104.981,445104.981,-0.4743489913704324,HOLD,0
226,2020-04-21,6825.28,6940.0,6759.16,6838.0,288024.528,288024.528,-0.5263173207568084,HOLD,0
227,2020-04-22,6838.0,7154.9,6812.57,7120.06,306482.163,306482.163,3.181499365265217,HOLD,0
228,2020-04-23,7120.06,7802.38,7020.0,7483.35,472510.047,472510.047,9.50175592625111,HOLD,0
229,2020-04-24,7483.36,7612.91,7388.0,7504.11,278378.368,278378.368,9.323859903177546,HOLD,0
230,2020-04-25,7504.62,7722.33,7433.0,7534.01,243266.807,243266.807,13.86028783915101,HOLD,0
231,2020-04-26,7534.01,7709.57,7476.86,7694.17,269921.936,269921.936,8.396835795242419,HOLD,0
232,2020-04-27,7693.63,7795.6,7623.98,7774.0,290336.169,290336.169,10.702263031083215,HOLD,0
233,2020-04-28,7774.0,7780.0,7662.49,7735.75,217652.761,217652.761,6.8116734461685535,HOLD,0
234,2020-04-29,7735.76,8988.66,7710.0,8784.2,871197.569,871197.569,23.407740624863926,HOLD,0
235,2020-04-30,8784.05,9479.77,8400.0,8624.76,944211.711,944211.711,26.36474054582296,HOLD,0
236,2020-05-01,8623.61,9065.0,8619.84,8830.52,417820.386,417820.386,29.1389295115531,HOLD,0
237,2020-05-02,8830.52,9020.0,8755.01,8975.18,295769.728,295769.728,26.054836616545373,HOLD,0
238,2020-05-03,8975.18,9200.0,8727.24,8900.0,451322.713,451322.713,18.930692804693084,HOLD,0
239,2020-05-04,8899.99,8954.94,8526.0,8873.98,440135.307,440135.307,18.254929631895056,HOLD,0
240,2020-05-05,8873.99,9118.17,8766.12,9022.78,409920.13,409920.13,19.76065866650032,HOLD,0
241,2020-05-06,9022.76,9405.0,8916.01,9148.27,507753.8,507753.8,18.8987246187698,HOLD,0
242,2020-05-07,9148.29,10080.0,9022.0,9995.0,738920.219,738920.219,28.569590944172884,HOLD,0
243,2020-05-08,9994.74,10045.03,9726.0,9807.49,458034.211,458034.211,26.781372200497678,HOLD,0
244,2020-05-09,9809.63,9923.98,9528.23,9550.67,411941.957,411941.957,8.725552696887595,HOLD,0
245,2020-05-10,9550.25,9580.0,7940.0,8719.53,842909.031,842909.031,1.0988131843668647,HOLD,0
246,2020-05-11,8723.23,9164.0,8151.12,8561.09,805164.964,805164.964,-3.051122697191111,HOLD,0
247,2020-05-12,8560.73,8981.0,8520.43,8808.71,369716.041,369716.041,-1.8547817425388802,HOLD,0
248,2020-05-13,8808.71,9397.0,8790.04,9305.91,379719.0,379719.0,4.560786516853921,HOLD,0
249,2020-05-14,9305.91,9950.0,9250.66,9786.8,602528.438,602528.438,10.286477995217469,HOLD,0
250,2020-05-15,9787.62,9843.5,9100.0,9310.73,504107.096,504107.096,3.191366740627588,HOLD,0
251,2020-05-16,9311.21,9585.0,9210.03,9374.99,287768.201,287768.201,2.4782827791484108,HOLD,0
